# Revision 1.3 Aug-2016,Added QFN48,,,,,,,,,,,
# Revision 1.2 Mar-2012,,,,,,,,,,,,
,,,,,,,,,,,,
PAD,Pin/Ball Function,Bank,Dual Function,Differential,High Speed,DQS,I/O Grouping,CSBGA132,TQFP100,UCBGA64,QFN32,QFN48
0,NC,1,-,-,-,-,-,G12,-,-,-,-
0,NC,1,-,-,-,-,-,A14,-,-,-,-
0,NC,1,-,-,-,-,-,F12,-,-,-,-
0,NC,1,-,-,-,-,-,E13,-,-,-,-
0,NC,1,-,-,-,-,-,D12,-,-,-,-
0,NC,1,-,-,-,-,-,C14,-,-,-,-
0,NC,0,-,-,-,-,-,A12,-,-,-,-
0,NC,0,-,-,-,-,-,C12,-,-,-,-
0,NC,0,-,-,-,-,-,B12,78,-,-,-
0,NC,0,-,-,-,-,-,A11,83,-,-,-
0,NC,0,-,-,-,-,-,C11,84,-,-,-
0,NC,0,-,-,-,-,-,A10,-,-,-,-
0,NC,0,-,-,-,-,-,A9,-,-,-,-
0,NC,0,-,-,-,-,-,C9,-,-,-,-
0,NC,0,-,-,-,-,-,A8,-,-,-,-
0,NC,0,-,-,-,-,-,C6,-,-,-,-
0,NC,0,-,-,-,-,-,B5,-,-,-,-
0,NC,0,-,-,-,-,-,C4,96,-,-,-
0,NC,0,-,-,-,-,-,A3,97,-,-,-
0,NC,0,-,-,-,-,-,C7,89,B5,-,-
0,GND,-,-,-,-,-,-,-,-,-,3,-
0,GND,-,-,-,-,-,-,-,-,-,22,-
